287 17565 64697
0 0     -2.652492e+02 -1.078278e+01
0 1     -1.008124e+01 2.620819e+01
0 2     -4.108231e+01 4.002342e+02
0 3     -3.962626e+02 -1.961157e+02
0 4     1.310786e+02 -2.908096e+02
0 5     -1.665619e+01 -3.046679e+02
0 6     -1.853687e+01 -5.532955e+02
0 7     4.173982e+02 1.596063e+01
0 8     3.459399e+02 -1.848404e+02
0 9     2.131146e+02 -6.446578e+02
0 10     -4.220791e+02 -3.974592e+02
0 11     2.736051e+02 -6.124421e+02
0 12     -3.715565e+02 7.888947e+01
0 13     3.757258e+02 -3.766506e+02
0 14     -3.665732e+02 -4.208959e+02
0 15     -1.031609e+02 -4.708656e+02
0 16     -5.915161e+01 -5.142378e+02
0 17     -2.293144e+02 -5.216897e+02
0 18     2.002941e+02 -5.179939e+02
0 19     -4.459345e+02 -5.269557e+02
0 20     -4.756637e+02 -6.440643e+02
0 21     4.810175e+02 -5.916234e+02
0 22     3.240297e+02 -6.288632e+02
0 23     1.109959e+02 -5.101344e+02
0 24     3.793631e+02 8.905328e+01
0 25     3.540862e+02 2.794727e+01
0 26     -1.879242e+02 -3.513104e+01
0 27     4.527486e+02 -4.501184e+01
0 28     9.793085e+01 -5.500104e+01
0 29     -2.251978e+01 -1.077778e+02
0 30     1.958185e+01 -1.840533e+02
0 31     2.695398e+02 -1.942842e+02
0 32     1.780481e+02 -2.738837e+02
0 33     3.199622e+01 -5.109221e+02
0 34     -1.429491e+02 -5.139269e+02
0 35     2.806537e+01 -4.661825e+02
0 36     3.202606e+02 -4.079691e+02
0 37     5.564648e+01 -3.266241e+02
0 38     -2.336345e+02 -3.337253e+02
0 39     4.146182e+02 -2.961270e+02
0 40     -3.091086e+02 -2.042347e+02
0 41     -3.216147e+02 -3.256604e+01
0 42     -2.579073e+02 -4.399042e+02
0 43     -2.279731e+02 -2.617023e+02
0 44     3.623738e+02 -2.589676e+02
0 45     -3.010090e+02 -2.387383e+02
0 46     2.619914e+02 -2.331658e+02
0 47     1.025053e+02 -2.108023e+02
0 48     2.700005e+02 -7.365863e+01
0 49     -2.253857e+01 -7.128748e+01
0 50     -1.607117e+00 -3.452399e+01
0 51     -4.832877e+01 -3.348981e+01
0 52     -4.056074e+02 1.588855e+01
0 53     -4.400905e+02 8.064655e+01
0 54     -4.401787e+02 1.566284e+01
0 55     4.943103e+02 -6.896913e+02
0 56     -4.047603e+02 -2.684926e+02
0 57     -3.216223e+02 -6.893398e+02
0 58     3.637285e+02 -6.434731e+02
0 59     4.828058e+01 -6.347920e+02
0 60     7.590228e+01 -6.019949e+02
0 61     1.531921e+02 -5.038320e+02
0 62     2.318971e+02 -4.290865e+02
0 63     -2.284734e+02 -3.774083e+02
0 64     -3.101056e+02 -3.299136e+02
0 65     3.759080e+02 -9.727777e+01
0 66     3.522235e+01 3.885638e+02
0 67     3.471277e+02 -9.051868e+01
0 68     -3.411858e+02 -6.760040e+01
0 69     -3.647720e+02 -6.132538e+01
0 70     3.174252e+02 -4.827692e+01
0 71     3.458428e+02 -4.414819e+01
0 72     -3.944742e+02 -2.191339e+01
0 73     3.913762e+02 3.039008e+01
0 74     4.538222e+02 7.785736e+01
0 75     -5.637976e+01 3.477417e+02
0 76     -9.987967e+01 3.721204e+02
0 77     -4.174195e+02 -1.137798e+02
0 78     -2.981267e+02 -1.151705e+02
0 79     -2.734125e+02 -1.259253e+02
0 80     4.207126e+02 -3.928943e+02
0 81     4.483890e+02 -4.362391e+02
0 82     -4.812512e+02 -4.496193e+02
0 83     2.330208e+02 -4.605480e+02
0 84     -3.556821e+02 -4.676075e+02
0 85     -2.641569e+02 -4.707242e+02
0 86     -1.059967e+02 -5.999314e+02
0 87     -3.187985e+02 -6.406030e+02
0 88     8.130920e+01 -6.785933e+02
0 89     2.867566e+01 4.352795e+02
0 90     -4.641821e+01 -4.225807e+02
0 91     -3.781369e+02 -4.487952e+02
0 92     -4.920501e+02 -2.748053e+01
0 93     -1.132590e+02 -3.988684e+01
0 94     -1.562296e+02 -5.330969e+01
0 95     4.240050e+02 -6.910718e+01
0 96     -4.527902e+02 -7.453229e+01
0 97     -4.108685e+02 -7.589935e+01
0 98     -4.389108e+02 -1.204626e+02
0 99     -1.060502e+02 -1.446077e+02
0 100     4.416287e+02 -1.613856e+02
0 101     4.590209e+02 -2.673633e+01
0 102     1.733329e+02 2.624982e+01
0 103     -3.173614e+02 4.943323e+01
0 104     4.866015e+02 6.828796e+01
0 105     5.121887e+00 3.836804e+02
0 106     -8.784631e+01 3.974232e+02
0 107     -5.022400e+00 4.343353e+02
0 108     -2.838560e+02 -1.771179e+02
0 109     8.034314e+01 -6.358381e+02
0 110     5.594836e+01 -5.747844e+02
0 111     -8.379877e+01 -4.969246e+02
0 112     2.428574e+02 -1.719764e+02
0 113     2.278012e+02 -4.608702e+02
0 114     4.755131e+02 -4.561469e+02
0 115     2.833052e+02 -4.582229e+02
0 116     -2.962313e+02 -4.208427e+02
0 117     3.926470e+02 -4.116011e+02
0 118     -3.443145e+02 -3.927762e+02
0 119     -3.886195e+02 -3.434086e+02
0 120     -2.787154e+02 -3.312968e+02
0 121     -2.018906e+02 -3.309775e+02
0 122     1.066368e+02 -1.753976e+02
0 123     -1.889653e+02 -1.860297e+02
0 124     2.380522e+02 -2.144158e+02
0 125     -3.774658e+02 -2.204028e+02
0 126     2.111633e+02 -2.602362e+02
0 127     3.771855e+02 -3.062645e+02
0 128     -3.457113e+02 -3.203826e+02
0 129     2.419998e+02 -3.231384e+02
0 130     2.641354e+02 -3.278510e+02
0 131     6.332288e+01 -2.765068e+02
0 132     -4.584138e+02 -1.952141e+02
0 133     -1.539745e+02 -1.624413e+02
0 134     4.605449e+02 -1.553753e+02
0 135     2.464171e+02 -1.470493e+02
0 136     3.924585e+01 -1.373871e+02
0 137     -2.883093e+02 -1.355100e+02
0 138     4.665355e+02 -1.311060e+02
0 139     2.429743e+02 -1.233082e+02
0 140     3.924700e+02 -1.063890e+02
0 141     2.195667e+02 -1.022304e+02
0 142     -1.447838e+02 -1.784951e+02
0 143     4.329327e+02 -1.820946e+02
0 144     -4.769082e+02 -1.951677e+02
0 145     -2.790591e+02 -1.991312e+02
0 146     3.905968e+02 -2.053326e+02
0 147     -4.342432e+02 -2.144908e+02
0 148     2.202936e+02 -2.170232e+02
0 149     -2.591140e+02 -2.184651e+02
0 150     -2.170767e+02 -2.374016e+02
0 151     -4.699314e+02 6.346130e+01
0 152     2.734241e+02 -2.340894e+02
0 153     -3.131808e+02 -2.411874e+02
0 154     -7.689642e+01 -2.767534e+02
