97 4981 21930
0 0     -1.953203e+02 2.932961e+01
0 1     -1.626907e+02 -1.371686e+02
0 2     -3.547231e+02 -3.320776e+01
0 3     -8.994135e+01 -3.025687e+01
0 4     -8.792657e+01 3.245325e+01
0 5     -1.315228e+02 4.557483e+01
0 6     -3.176384e+02 -2.243539e+01
0 7     -1.875292e+02 8.215623e+01
0 8     1.092549e+02 4.384241e+01
0 9     -1.728710e+02 1.729669e+02
0 10     -2.473711e+02 -7.911987e+01
0 11     -1.689279e+02 1.428928e+02
0 12     -1.806157e+02 -6.145911e+01
0 13     -1.766027e+02 5.116800e+01
0 14     -2.491888e+02 2.189940e+01
0 15     -1.795351e+02 2.326848e+01
0 16     -1.436544e+02 1.065523e+02
0 17     -1.723789e+02 2.020667e+02
0 18     -3.525523e+02 -7.591180e+01
0 19     -1.944416e+02 -9.851923e+01
0 20     -2.279960e+02 -1.050927e+02
0 21     -2.145732e+02 7.002051e+01
0 22     -2.263730e+01 5.423248e+01
0 23     -3.122349e+02 4.583415e+01
0 24     -2.262686e+02 3.801146e+01
0 25     -2.148967e+02 2.042737e+01
0 26     -1.367520e+02 2.086481e+01
0 27     -1.739294e+02 -1.041774e+02
0 28     -2.219473e+02 9.662857e+01
0 29     -1.723340e+02 1.128765e+02
0 30     -2.032753e+02 1.034241e+02
0 31     -1.109805e+01 6.847931e+00
0 32     -2.479686e+02 -2.439838e+01
0 33     -1.223745e+02 -4.750946e+01
0 34     -2.008376e+02 -2.617441e+01
0 35     -3.375294e+02 2.788626e+01
0 36     -3.228336e+02 5.949066e+00
0 37     -2.399699e+02 5.546785e+01
0 38     -1.960333e+02 6.479018e+01
0 39     -1.580483e+02 6.575748e+01
0 40     -1.421057e+02 6.960146e+01
0 41     -1.830793e+02 9.493477e+01
0 42     -1.621934e+02 9.799580e+01
0 43     -1.733433e+02 -1.214766e+02
0 44     -2.111619e+02 -9.285718e+01
0 45     -2.262598e+02 -5.296878e+01
0 46     -1.490482e+02 -4.787408e+01
0 47     -1.737491e+02 1.604749e+02
0 48     -1.484349e+02 1.587337e+02
0 49     -1.490019e+02 3.966714e+01
0 50     -1.711449e+02 2.220244e+02
0 51     -1.592145e+02 1.842589e+02
0 52     -1.619261e+02 1.662714e+02
0 53     -3.121565e+02 4.245958e+01
0 54     -1.598480e+02 4.460991e+01
0 55     -3.510639e+02 4.582693e+01
0 56     -2.029746e+02 3.550229e+01
0 57     -2.020386e+02 4.811284e+01
0 58     -1.486665e+02 4.895557e+01
0 59     -1.316903e+02 6.165921e+01
0 60     -3.184233e+02 6.186537e+01
0 61     -2.270828e+02 8.158185e+01
0 62     -1.112727e+02 3.484007e+01
0 63     -1.584966e+02 5.042236e+00
0 64     -2.650220e+01 -3.741577e+00
0 65     -1.234132e+02 -6.620331e+00
0 66     -5.023233e+01 -5.012909e+00
0 67     -1.942460e+02 -1.267355e+01
0 68     -1.584745e+02 -1.158374e+01
0 69     -3.862552e+01 -1.421039e+01
0 70     -3.651582e+02 2.215535e+02
0 71     -1.837449e+02 1.670049e+02
0 72     -1.636952e+02 1.398496e+02
0 73     -1.884655e+02 1.179041e+02
0 74     -1.938410e+02 1.055919e+02
0 75     -2.042575e+02 -1.307725e+02
0 76     -1.022726e+01 -1.096065e+02
0 77     -2.132797e+02 -3.302261e+01
0 78     -1.497660e+02 -2.421307e+01
0 79     -1.847942e+02 -1.300793e+02
0 80     -1.776461e+02 -1.450635e+02
0 81     -2.141378e+02 -5.863080e+01
0 82     -1.234172e+02 -2.629922e+01
0 83     -1.573525e+02 -3.454013e+01
0 84     -2.029753e+02 -4.857071e+01
0 85     -1.559105e+02 -6.292694e+01
0 86     -2.481942e+02 -6.638235e+01
0 87     -2.496725e+02 -1.009633e+02
0 88     -1.845173e+02 5.016203e+01
0 89     -1.123268e+02 3.322302e+01
0 90     -2.620096e+01 3.857339e+01
0 91     -5.178357e+01 3.869736e+01
0 92     -1.704793e+02 3.956259e+01
0 93     -2.129355e+02 4.921196e+01
0 94     -1.866806e+01 3.013686e+01
0 95     -1.410510e+02 5.128456e+01
0 96     -1.456221e+02 6.999100e+01
0 97     -7.195633e+01 -2.418808e+01
0 98     -2.118775e+02 8.859132e+01
0 99     -2.026531e+02 -5.750092e+00
0 100     -1.488062e+02 -4.679108e+00
0 101     -1.300824e+02 -1.542789e+01
0 102     -1.944988e+02 -2.693512e+00
0 103     -2.440151e+02 1.221725e+01
0 104     -1.094663e+02 1.476840e+01
0 105     5.160767e+00 -1.560312e+01
0 106     -2.542000e+02 2.102621e+01
0 107     -9.621924e+01 -9.129385e+01
0 108     -1.689393e+02 4.793729e+01
0 109     -2.037135e+02 1.252657e+02
0 110     -2.135614e+02 1.120258e+02
0 111     -1.656209e+02 1.283178e+02
0 112     -1.464544e+02 1.293253e+02
0 113     -1.803627e+02 1.290163e+02
0 114     -1.379888e+02 1.327813e+02
0 115     -1.311019e+02 1.000337e+02
0 116     -1.721412e+02 1.854215e+02
0 117     -1.940821e+02 -1.261888e+02
0 118     -1.477227e+02 -1.114825e+02
0 119     -6.821759e+01 -1.622059e+02
0 120     1.008647e+02 -9.434351e+01
0 121     -1.653064e+02 -4.870459e+01
0 122     -3.985251e+02 -4.525650e+01
0 123     -1.943436e+02 -3.548590e+01
0 124     -2.864081e+02 -3.442871e+01
0 125     -3.933217e+02 -3.494705e+01
0 126     -2.763580e+02 -3.140347e+01
0 127     -3.787622e+02 -2.954831e+01
0 128     -2.694133e+02 -2.663330e+01
0 129     -3.647717e+02 -8.998819e+01
0 130     -1.766733e+02 4.566553e+01
1 131     -2.666374e+02 -1.855810e+02
1 132     2.679074e+02 -4.915472e+01
1 133     2.558037e+02 2.193494e+02
1 134     1.171678e+02 2.548655e+02
1 135     1.591498e+02 -2.865491e+02
1 136     -6.361108e+01 -2.811440e+02
1 137     1.404752e+02 7.515393e+01
1 138     -1.369349e+02 8.450867e+01
1 139     -6.701270e+01 -4.684503e+02
1 140     8.897711e+01 3.634136e+02
1 141     -1.348895e+01 3.641317e+02
1 25     -5.288199e+01 7.001587e+01
1 142     2.396824e+02 -2.508187e+02
1 143     -1.411132e+02 -5.007570e+02
1 144     -1.389200e+02 -2.562445e+02
1 145     1.758773e+02 3.070388e+02
1 146     4.336890e+01 2.131279e+02
1 67     4.791052e+01 -6.988916e+01
1 147     1.300681e+01 -1.313385e+02
1 148     7.647882e+01 -1.285084e+02
1 149     4.611871e+01 -1.842489e+02
1 150     4.708417e+01 -3.003684e+02
1 57     -1.564972e+00 1.513139e+02
1 151     2.252837e+02 1.974091e+02
1 152     4.460553e+01 2.632431e+02
1 153     -8.474857e+01 3.025386e+02
1 154     3.150848e+01 3.269340e+02
1 155     4.735944e+01 5.761973e+02
1 156     2.263620e+02 -7.070123e+01
1 157     -1.266499e+02 -7.640790e+01
1 158     1.769630e+02 -4.233356e+01
1 159     1.814391e+02 -2.672757e+02
1 160     8.266858e+01 8.600952e+01
1 161     1.338501e+00 8.687872e+01
1 162     2.354816e+01 -8.404108e+01
1 163     3.960046e+01 1.675805e+02
1 164     -7.417307e+01 2.289227e+02
1 165     1.225865e+02 3.032925e+02
1 166     -2.877777e+00 3.159371e+02
1 167     2.211789e+01 4.189508e+02
1 168     5.308203e+01 4.695840e+02
1 169     -3.233234e+01 3.951245e+01
1 170     -7.810098e+01 2.953906e+01
1 171     1.650526e+02 3.753625e+01
1 172     2.770978e+01 -3.881335e+02
1 173     9.518109e+01 -2.334405e+02
1 174     -2.731018e+00 -2.351778e+02
1 175     3.600673e+02 -1.076113e+02
1 176     2.947375e+02 -8.339642e+01
1 177     1.021729e-01 -5.039044e+01
1 178     1.051377e+02 4.102804e+02
1 179     1.569311e+02 3.229484e+02
1 180     -4.536490e+01 2.940822e+02
1 181     1.593568e+02 2.361508e+02
1 182     -1.004626e+02 1.213722e+02
1 183     2.608572e+02 2.571985e+01
1 184     9.321393e+01 1.848383e+01
1 185     1.495898e+02 -2.367449e+02
1 186     -1.006844e+02 -2.753405e+02
1 187     9.864868e+00 5.469968e+02
1 188     1.891589e+02 3.004721e+02
1 189     6.734119e+01 -1.463130e+02
1 190     -2.110107e+02 -4.124182e+01
1 191     -7.373737e+01 7.530133e+01
1 192     1.787292e+02 6.686395e+01
1 193     2.070362e+02 4.724524e+01
1 194     -1.093498e+02 3.970380e+01
1 195     2.059854e+02 2.388873e+01
1 196     -1.622805e+02 1.321716e+01
1 197     -5.087808e+01 -5.703674e+00
1 198     -2.003336e+02 -3.588323e+02
1 199     1.383541e+02 -1.516571e+01
1 200     1.987104e+02 -2.695898e+02
1 201     -5.424713e+01 1.595788e+02
1 202     -3.298904e+01 1.966271e+02
1 203     9.314545e+01 2.311076e+02
1 204     2.094370e+02 2.399287e+02
1 205     -1.159769e+01 2.530098e+02
1 206     9.937903e+01 2.568796e+02
1 207     1.408451e+02 2.622870e+02
1 208     1.195372e+02 2.759474e+02
1 209     -9.199731e+01 3.369115e+02
1 210     1.206873e+02 3.880253e+02
1 211     2.797656e+01 4.131051e+02
1 212     2.328668e+01 5.182273e+02
1 213     7.813336e+01 5.486881e+02
1 214     3.077869e+02 -3.556124e+02
1 215     2.487198e+02 -3.117257e+02
1 216     7.799768e+01 -2.921752e+02
1 217     2.827172e+02 -2.848183e+02
1 218     2.544388e+01 -3.972217e+01
1 219     1.898492e+02 -1.269644e+02
1 220     2.042901e+02 -1.079580e+02
1 221     -1.076234e+02 -1.161370e+02
1 222     -9.635147e+01 -1.345554e+02
1 223     1.900954e+02 -1.642700e+02
1 224     -9.670795e+01 -1.728179e+02
