265 11247 50103
0 0     -7.996968e+01 4.194797e+01
0 1     1.229465e+02 -6.486137e+01
0 2     1.170802e+02 2.701118e+01
0 3     1.900812e+01 -6.382941e+01
0 4     1.082863e+02 -5.893448e+01
0 5     -1.882576e+01 -4.025584e+01
0 6     -3.535001e+01 -8.009628e+00
0 7     1.181266e+02 -3.553059e+01
0 8     7.085266e-01 -9.068030e+01
0 9     1.534968e+02 1.834964e+01
0 10     1.025662e+02 -1.585919e+01
0 11     -2.066878e+01 7.734505e+01
0 12     1.563244e+02 8.749164e+01
0 13     4.130499e+01 9.187208e+01
0 14     9.098206e-01 2.554932e+01
0 15     8.199680e+01 4.089791e+01
0 16     1.271973e+00 4.212438e+01
0 17     3.917035e+01 5.003403e+01
0 18     -9.725732e+01 5.437577e+01
0 19     -8.071066e+01 6.169687e+01
0 20     9.784033e+01 1.013090e+02
0 21     -1.228567e+02 6.734061e+01
0 22     2.064354e+01 2.963878e+01
0 23     -1.546008e+02 -2.664192e+01
0 24     -9.575904e+01 -5.600453e+01
0 25     -1.152980e+02 3.261215e+00
0 26     1.230425e+02 -4.399734e+00
0 27     1.519642e+02 -2.042873e+01
0 28     -1.460252e+02 -7.335501e+01
0 29     1.215958e+02 -1.022458e+02
0 30     -2.744089e+01 1.935140e+01
0 31     3.112282e+01 -9.594196e+01
0 32     1.115782e+02 -8.521643e+01
0 33     -9.187424e+01 -1.017213e+02
0 34     -1.343720e+02 -3.346542e+00
0 35     -4.083603e+01 -1.215631e+01
0 36     -5.394471e+01 -4.534872e+01
0 37     6.719922e+01 -7.555258e+01
0 38     1.345097e+02 -8.608560e+01
0 39     1.093935e+02 -3.589935e+01
0 40     -7.040544e+01 1.224455e+01
0 41     3.254236e+01 1.878220e+01
0 42     -1.379991e+01 2.367562e+01
0 43     -7.536909e+01 2.679747e+01
0 44     -5.449683e+01 3.069515e+01
0 45     5.285678e+01 3.720129e+01
0 46     6.627951e+01 1.060303e+02
0 47     -5.127127e+01 1.551486e+01
0 48     -1.646828e+02 -3.593054e+01
0 49     3.193924e+01 9.982399e+01
0 50     5.950885e+01 -1.693449e+01
0 51     -1.624905e+02 -1.515829e+01
0 52     -1.210297e+02 3.745621e+00
0 53     -1.633148e+02 1.464156e+01
0 54     1.355905e+02 2.208221e+01
0 55     -4.189305e+01 7.920903e+01
0 56     1.400220e+02 1.184882e+02
0 57     3.454211e+01 -4.983997e+01
0 58     2.864609e+00 -3.846660e+01
0 59     -8.178808e+01 -1.115082e+02
0 60     -1.528209e+02 -1.074935e+02
0 61     5.391837e+01 -9.246724e+01
0 62     8.400064e+01 -8.924913e+01
0 63     8.323492e+01 -7.662219e+01
0 64     1.754839e+01 -6.924406e+01
0 65     9.230521e+01 -6.414632e+01
0 66     -1.024689e+02 -3.687027e+00
0 67     -4.899612e+00 1.234550e+01
0 68     -1.628918e+02 -2.452309e+01
0 69     -7.555399e+01 -2.405746e+00
0 70     8.159906e+01 -2.632919e+00
0 71     7.145168e+01 -3.012650e+00
0 72     -5.462601e+01 -6.313248e+00
0 73     -5.433578e+00 -1.205948e+01
0 74     1.185815e+01 -1.411729e+01
0 75     -2.200572e+01 -1.477875e+01
0 76     1.904816e+00 -1.835107e+01
0 77     7.174043e+01 -2.188544e+01
0 78     8.258344e+01 -2.150967e+01
0 79     1.229329e+01 1.639072e+01
0 80     -1.417359e+02 3.698557e+01
0 81     8.637183e+01 4.684756e+01
0 82     9.978860e+01 5.893718e+01
0 83     -2.653462e+01 8.479329e+01
0 84     1.281189e+02 1.033428e+02
0 85     9.494016e+01 1.296359e+02
0 86     -8.086893e+01 -5.753069e+01
0 87     1.722687e+02 8.705621e+01
0 88     -4.029846e+01 -2.423184e+01
0 89     -6.317459e+01 -2.493565e+01
0 90     7.275800e+01 -9.793402e+01
0 91     -1.692402e+02 -8.423076e+01
0 92     -6.556685e+01 -7.484749e+01
0 93     7.826819e+01 -1.153361e+02
0 94     -1.593328e+02 -9.999677e+01
0 95     1.540235e+02 -6.984146e+01
0 96     1.000469e+02 -6.958058e+01
0 97     -4.809775e+01 -6.623973e+01
0 98     -1.578190e+02 -6.352448e+01
0 99     -6.609409e+01 -5.824791e+01
0 100     8.325232e+01 -5.759103e+01
0 101     9.791022e+01 -5.395721e+01
0 102     1.676622e+02 -2.538487e+01
0 103     -8.665939e+01 -3.186618e+01
0 104     -6.374281e+01 -3.306757e+01
0 105     1.695575e+02 -3.384029e+01
0 106     -1.094980e+02 -3.780182e+01
0 107     9.097891e+01 -3.742999e+01
0 108     1.414553e+02 -3.815883e+01
0 109     -6.438223e+01 -4.370970e+01
0 110     -1.111014e+02 -5.772240e+01
0 111     -1.515431e+01 -2.207794e+01
0 112     1.991844e+01 9.352291e+01
0 113     1.134685e+02 9.886174e+01
0 114     -1.695055e+02 1.030861e+02
0 115     -1.737546e+02 9.892670e+00
0 116     -6.096144e+01 4.346375e+00
0 117     -4.531728e+01 3.638412e+00
0 118     -6.195702e+01 -3.077927e+00
0 119     -1.968846e+01 -4.655319e+00
0 120     -1.181087e+02 -6.419174e+00
0 121     -8.275057e+01 -6.617340e+00
0 122     1.069274e+02 -7.185959e+00
