317 13294 71055
0 0     -3.466554e+02 5.772121e+01
0 1     1.621624e+02 -1.020612e+02
0 2     2.086080e+02 -1.182837e+01
0 3     8.794989e+01 5.668427e+00
0 4     6.376642e+01 5.610683e+01
0 5     -2.370174e+02 1.475716e+02
0 6     1.605547e+02 1.835750e+02
0 7     1.669437e+02 8.419086e+01
0 8     9.522235e+01 -1.476886e+01
0 9     5.910110e+01 -2.612332e+01
0 10     2.076437e+02 1.380685e+02
0 11     1.384018e+02 1.733634e+02
0 12     9.047064e+01 1.470921e+02
0 13     -5.701413e+01 -6.413217e+01
0 14     3.731721e+02 -1.599066e+02
0 15     1.416308e+02 -6.486282e+01
0 16     1.810081e+02 -6.692868e+01
0 17     9.564874e+01 6.709830e+01
0 18     -3.603234e+02 9.762569e+01
0 19     9.693182e+01 9.730473e+01
0 20     2.740265e+01 -2.868668e+01
0 21     6.817377e+01 7.397217e+00
0 22     1.011660e+02 1.315198e+01
0 23     8.098627e+01 1.240372e+01
0 24     1.966721e+02 1.544672e+01
0 25     1.164215e+02 -2.748831e+01
0 26     8.257410e+01 -2.912729e+01
0 27     -3.774533e+02 -3.498645e+01
0 28     8.385028e+01 -5.987347e+01
0 29     1.925386e+02 -5.864191e+01
0 30     -3.997766e+02 2.119283e+02
0 31     2.418503e+02 1.271514e+02
0 32     1.282263e+02 -6.851535e+01
0 33     2.640619e+02 -8.753183e+01
0 34     1.490372e+02 -8.995627e+01
0 35     1.044246e+02 -9.799191e+01
0 36     -1.300529e+02 -1.229431e+02
0 37     1.262510e+02 1.363803e+01
0 38     -3.459327e+02 1.292734e+01
0 39     3.485562e+01 3.061996e+01
0 40     -2.100179e+02 1.173924e+02
0 41     1.624644e+02 5.205472e+01
0 42     3.774744e+01 9.980302e+01
0 43     1.617989e+02 4.196902e+01
0 44     1.836769e+02 4.317131e+01
0 45     1.163213e+02 4.862100e+01
0 46     1.853825e+02 5.153589e+01
0 47     -3.940526e+02 8.328850e+01
0 48     1.505445e+02 6.615137e+01
0 49     -3.901361e+02 7.540671e+01
0 50     1.609985e+01 -2.164221e+01
0 51     3.456760e+01 -4.322754e+00
0 52     9.849225e+01 -2.461029e+00
