327 13156 58179
0 0     5.955828e+02 2.005725e+02
0 1     -3.339639e+02 -1.808407e+02
0 2     -5.322693e+02 -5.942523e+01
0 3     -1.712769e+02 -1.522288e+02
0 4     3.708118e+02 4.322415e+01
0 5     3.783982e+02 9.387854e+01
0 6     2.110266e+02 2.763680e+02
0 7     8.781079e+01 -2.461000e+02
0 8     2.150568e+01 -2.609028e+02
0 9     -6.230026e+02 -5.220468e+01
0 10     -1.811605e+02 -4.569183e+01
0 11     -4.083986e+02 -1.179567e+02
0 12     -4.185688e+02 1.209863e+02
0 13     -7.047129e+02 1.024890e+02
0 14     6.709888e+02 1.026305e+02
0 15     -6.194592e+01 5.863205e+01
0 16     -2.387736e+02 2.246735e+01
0 17     -2.176046e+02 -1.812498e+02
0 18     -3.277736e+02 -1.388303e+02
0 19     -2.171462e+02 -1.281480e+02
0 20     -1.467998e+02 -8.541199e+01
0 21     -2.420020e+02 -4.058420e+01
0 22     -2.838578e+02 -2.563928e+01
0 23     -5.240157e+02 -1.892838e+01
0 24     4.482816e+02 1.260342e+02
0 25     -2.918928e+02 -2.925895e+02
0 26     -2.518621e+02 -2.685888e+02
0 27     -2.961214e+02 -2.628889e+02
0 28     -3.251751e+02 -2.658687e+02
0 29     -5.375123e+02 -2.487975e+02
0 30     -3.135665e+02 -2.902878e+01
0 31     7.399835e+02 6.332339e+01
0 32     -2.929102e+01 4.447305e+01
0 33     -3.331217e+02 1.569379e+01
0 34     5.691735e+02 -1.434048e+01
0 35     -2.569897e+01 -1.547077e+02
0 36     -2.398663e+02 -8.129584e+01
0 37     5.695206e+02 1.100018e+02
0 38     6.440571e+02 1.222647e+02
0 39     -2.464613e+02 -1.894500e+02
0 40     -2.792804e+01 1.545550e+02
0 41     -2.104950e+02 1.727993e+02
0 42     4.466083e+02 2.021727e+02
0 43     5.994390e+02 7.339551e+01
0 44     -5.596465e+02 6.749393e+01
0 45     7.136554e+02 5.640588e+01
0 46     -6.096655e+01 4.298599e+01
0 47     6.292114e-01 4.087131e+01
0 48     3.264196e+02 3.743619e+01
0 49     7.402958e+02 -2.249677e+01
0 50     3.937457e+02 -3.832672e+00
0 51     -3.560637e+02 -1.552002e+00
0 52     3.106648e+02 1.808731e+01
