166 3643 39651
0 0     -5.730977e+02 3.442212e+02
0 1     -2.964921e+02 1.211373e+02
0 2     -4.052582e+02 3.894650e+02
0 3     -3.095871e+02 4.075858e+02
0 4     -3.658177e+02 4.560249e+02
0 5     -5.183150e+02 6.385400e+01
0 6     -4.068852e+02 2.674840e+02
0 7     -1.594611e+02 5.061668e+02
0 8     -4.035055e+02 2.033312e+02
0 9     -4.378523e+02 2.335135e+02
0 10     -3.445562e+02 3.060033e+02
0 11     -4.075603e+02 3.303353e+02
0 12     -3.410692e+02 3.574795e+02
0 13     -4.395076e+02 4.425832e+02
0 14     -1.385071e+02 4.577995e+02
0 15     -2.466628e+02 5.053772e+02
0 16     -4.855419e+02 3.272556e+01
0 17     -6.240333e+02 6.986365e+01
0 18     -5.049505e+02 1.625792e+02
0 19     -3.015357e+02 2.159758e+02
0 20     -6.505464e+02 5.115259e+01
0 21     -4.309979e+02 -3.491125e+01
0 22     -4.780836e+02 5.644928e+01
0 23     -4.588575e+02 2.062778e+02
0 24     -4.615936e+01 4.480025e+02
0 25     -4.319633e+02 4.402304e+02
0 26     -3.753682e+02 3.565385e+02
0 27     -5.148011e+02 3.398206e+02
0 28     -3.862433e+02 3.006042e+02
0 29     -2.784031e+02 2.375242e+02
0 30     -3.121308e+02 1.632117e+02
0 31     -4.141909e+02 2.824601e+02
0 32     -2.727762e+02 3.599485e+02
0 33     -5.027918e+02 3.589822e+02
0 34     -3.431465e+02 3.700840e+02
0 35     -6.842126e+01 4.721886e+02
0 36     -3.502936e+02 4.775284e+02
0 37     -4.129027e+02 5.089529e+02
0 38     -4.837699e+02 -4.222968e+01
0 39     -4.453512e+02 -7.238586e+00
0 40     -5.662878e+02 -3.627045e+01
0 41     -5.189192e+02 -4.376910e+01
0 42     -4.406205e+02 5.097691e+02
0 43     -5.321663e+02 4.725313e+02
0 44     -2.488044e+02 2.090484e+02
0 45     -3.068698e+02 3.672551e+02
0 46     -4.924438e+02 -3.176409e+02
0 47     -5.183457e+02 5.069935e+02
0 48     -4.733499e+02 5.048195e+02
0 49     -3.534050e+02 5.008869e+02
0 50     -1.875673e+02 4.807389e+02
0 51     -4.997281e+02 4.723865e+02
0 52     -4.827579e+02 4.721323e+02
0 53     -5.083052e+02 4.399474e+02
0 54     -1.733970e+02 4.297456e+02
0 55     -3.699858e+02 2.814374e+02
0 56     -5.318084e+02 -5.851691e+01
0 57     -4.651070e+02 -3.171562e+02
0 58     -4.136557e+02 -3.265646e+02
0 59     -3.964947e+02 -4.214139e+02
0 60     -7.444332e+02 5.868274e+01
0 61     -2.572475e+02 4.124207e+00
0 62     -4.945413e+02 -2.239307e+01
0 63     2.793893e+02 2.599773e+02
0 64     -4.112143e+02 2.346693e+02
0 65     -3.093415e+02 2.337173e+02
0 66     -2.901317e+02 1.621117e+02
0 67     -4.739471e+02 -3.296395e+02
0 68     -3.436303e+02 -4.024952e+02
0 69     -3.531583e+02 -4.115685e+02
0 70     -4.743171e+02 2.422687e+01
0 71     -6.727190e+02 8.038147e+00
0 72     -5.454255e+02 -6.041748e+00
0 73     -3.528266e+02 5.206861e+02
0 74     -3.661502e+02 5.133510e+02
0 75     -4.879279e+02 4.879585e+02
0 76     -1.252269e+02 4.792627e+02
0 77     -1.716974e+02 4.716916e+02
0 78     -3.598261e+02 3.656703e+02
0 79     -3.467498e+02 4.480530e+02
0 80     -5.255197e+02 4.521753e+02
0 81     -3.839588e+02 4.990764e+02
0 82     -5.099080e+02 4.889745e+02
0 83     -3.890479e+02 4.664564e+02
0 84     -2.897087e+02 3.540927e+02
0 85     4.728992e+01 3.481961e+02
0 86     -3.011777e+02 1.520984e+02
0 87     -3.371551e+02 5.040551e+02
0 88     -4.615150e+02 5.215106e+02
0 89     -4.616116e+02 1.631435e+02
0 90     -3.889384e+02 5.157038e+02
0 91     -4.608436e+02 2.220518e+02
0 92     -2.653484e+02 1.783309e+02
0 93     -2.610780e+02 2.681915e+02
0 94     -5.512484e+02 -2.917499e+01
0 95     -4.492429e+02 1.320025e+02
0 96     -5.113224e+02 3.272302e+01
0 97     -3.837659e+02 2.410168e+01
0 98     -3.339929e+02 4.719417e+02
0 99     -2.778143e+02 6.956952e+01
0 100     -5.063039e+02 1.192528e+02
0 101     -6.030707e+02 -1.981019e+02
0 102     -4.103924e+02 -3.159673e+02
0 103     -3.704415e+02 -4.205308e+02
1 104     3.907517e+02 1.360953e+02
1 105     -2.255529e+02 1.159960e+02
1 106     6.410682e+02 2.914072e+02
1 107     2.652668e+02 5.393982e+00
1 108     -1.930766e+02 4.437126e+02
1 109     -3.599675e+02 2.363055e+01
1 110     -3.363387e+02 4.731289e+02
1 111     -7.775736e+02 6.538724e+01
1 112     1.043593e+02 4.298729e+02
1 113     3.309473e+02 -3.891947e+02
1 114     -3.013528e+02 9.910767e+01
1 115     -1.727421e+02 1.887361e+02
1 116     -9.004437e+01 2.291729e+02
1 117     -3.057595e+02 3.568260e+02
1 118     6.724415e+02 4.032701e+02
1 119     4.747382e+01 4.770577e+02
1 120     -2.194439e+02 2.522937e+02
1 121     -8.031952e+01 1.645017e+02
1 122     4.055883e+02 2.683228e+00
1 123     7.549722e+02 3.252992e+02
1 124     1.025970e+02 -2.473804e+01
1 125     -1.991219e+02 5.610266e+01
1 126     -1.340276e+02 9.688586e+01
1 127     9.543469e+01 5.016892e+02
1 128     1.214042e+02 4.699292e+02
1 129     1.636468e+02 4.958486e+02
1 130     -2.368243e+02 1.475758e+02
1 131     -1.711622e+02 3.990239e+02
1 132     -2.533742e+02 3.304980e+02
1 133     1.996198e+01 2.603408e+02
1 134     -7.113986e+02 7.474454e+01
1 135     -1.420867e+02 3.497986e+01
1 136     -2.629338e+02 1.685028e+01
1 137     -4.597040e+02 -7.033813e+00
1 138     -8.079016e+01 -1.212274e+01
1 139     1.064423e+01 -2.891168e+01
1 140     1.849152e+02 -3.650525e+01
1 141     -2.143956e+02 1.457330e+01
1 142     1.089528e+02 5.083295e+02
1 143     1.278912e+02 4.852674e+02
1 144     6.116198e+02 4.743556e+02
1 145     6.110905e+02 4.255039e+02
1 146     -1.370374e+02 3.793985e+02
1 147     -5.991217e+01 3.291381e+02
1 148     2.113763e+01 1.806790e+02
1 149     -2.179424e+02 1.112006e+02
1 150     -1.078883e+02 7.116849e+01
1 151     3.620461e+02 3.931451e+01
1 152     -6.889164e+02 -1.268030e+01
1 153     -5.103210e+02 -1.458838e+01
1 154     -6.725633e+02 -3.767456e+01
1 155     -2.516584e+02 -4.722125e+01
1 156     4.701268e+02 -5.273328e+01
1 157     -7.628434e+02 -4.042656e+02
1 158     -2.927850e+02 3.825089e+01
1 159     -5.539545e+01 2.970842e+02
1 160     -1.161229e+02 1.150201e+02
1 161     -3.828485e+02 8.052548e+01
1 162     1.144125e+02 5.106521e+02
1 163     -4.446308e+02 5.087122e+02
1 164     1.310090e+02 4.931256e+02
1 165     6.584672e+02 4.242120e+02
1 166     6.944197e+02 4.252804e+02
1 167     4.440900e+01 3.928397e+02
1 168     6.605829e+02 3.868419e+02
1 169     6.976080e+02 3.869010e+02
1 170     7.340082e+02 3.871438e+02
1 171     -7.297974e-01 3.816743e+02
1 172     -1.489246e+02 3.320430e+02
1 173     -1.075775e+02 3.018994e+02
1 174     -3.500201e+01 2.717256e+02
1 175     -1.061969e+01 2.324576e+02
1 176     -2.650704e+02 2.242399e+02
1 177     -2.155963e+02 1.562499e+02
1 178     -2.344402e+02 1.436945e+02
1 179     -7.110860e+02 -3.250604e+01
1 180     5.608903e+02 -6.094745e+01
1 181     -6.576660e+02 7.520871e+01
1 182     -4.101588e+02 6.023907e+01
1 183     -6.498452e+02 2.253207e+01
1 184     -4.350308e+02 5.845276e+00
1 185     -6.376234e+02 2.611694e+00
1 186     3.657489e+02 -5.398193e+00
1 187     -7.190575e+02 -1.075592e+01
1 188     3.868431e+02 -4.099500e+01
1 189     3.594980e+02 -5.161377e+01
1 190     6.918804e+02 -6.124646e+01
1 191     7.628175e+02 -7.388757e+01
1 192     1.195540e+02 5.127923e+02
1 193     2.194214e+00 3.186083e+02
1 194     -2.224742e+02 3.493190e+02
1 195     -1.924473e+02 3.484946e+02
1 196     -2.762379e+02 1.201960e+02
1 197     -1.430473e+02 1.472957e+02
1 198     6.038595e+02 1.922312e+02
1 199     -8.998547e+01 6.053894e+01
1 200     2.514178e+01 2.190276e+02
1 201     6.845276e+00 2.430611e+02
1 202     -4.535364e+01 2.577603e+02
1 203     -1.243390e+02 2.671674e+02
1 204     -2.048661e+02 3.481434e+02
1 205     -1.973877e-01 3.426615e+02
1 206     -8.150574e+01 3.454497e+02
1 207     -8.233215e+01 3.293181e+02
1 208     5.318285e+02 3.285625e+02
1 209     -2.145995e+02 3.741632e+02
1 210     -7.696295e+01 3.776741e+02
1 211     6.272258e+02 3.812433e+02
1 212     -6.236279e+01 3.922601e+02
1 213     -7.690460e+01 4.008928e+02
1 214     -4.565326e+01 4.029562e+02
1 215     -1.001022e+02 4.051974e+02
1 216     5.866035e+02 4.518963e+02
1 217     1.335671e+02 5.003833e+02
1 218     -7.806186e+02 9.822665e+01
1 219     5.988291e+02 -6.557471e+01
1 220     -5.058289e+00 -3.686969e+01
1 221     -9.597595e+01 -3.183734e+01
1 222     -2.289755e+02 -2.693726e+01
1 223     -2.682640e+02 -2.248126e+01
1 224     -4.265909e+02 -2.232275e+01
1 225     -5.505396e+02 -3.966675e+00
1 226     -1.059443e+02 1.408545e+01
1 227     -1.698740e+02 8.160040e+01
1 228     -7.461715e+02 7.965747e+01
1 229     -6.501700e+02 6.093698e+01
1 230     -7.521988e+02 1.043521e+02
1 231     -2.307523e+02 9.813354e+00
1 232     -2.063237e+02 3.647620e+01
1 233     -7.044694e+02 2.855557e+01
1 234     -7.549916e+02 2.054791e+01
1 235     -4.503646e+02 2.083755e+01
1 236     -7.350822e+02 1.954907e+01
1 237     -1.534152e+02 3.043976e+02
1 238     6.203977e+02 2.965776e+02
1 239     5.956155e+02 2.774955e+02
1 240     -6.979633e+01 1.108989e+02
1 241     2.859344e+01 3.047039e+02
1 242     5.841793e+02 2.663336e+02
1 243     -1.733154e+01 2.518426e+02
1 244     5.964729e+02 2.520395e+02
1 245     -2.778575e+02 2.296217e+02
1 246     6.163910e+02 2.049376e+02
1 247     2.655902e+01 1.912021e+02
1 248     -2.062145e+02 1.347278e+02
1 249     -8.494421e+01 1.371001e+02
1 250     -1.805228e+02 1.276197e+02
1 251     7.036674e+02 3.816300e+02
1 252     -1.312455e+02 3.060239e+02
1 253     -1.178730e+02 3.152380e+02
1 254     -2.451900e+02 3.146705e+02
