64 3432 16351
0 0     2.203677e+02 1.492853e+01
0 1     3.939744e+02 -3.182461e+02
0 2     2.280015e+02 -1.759205e+02
0 3     3.054059e+02 -4.011383e+01
0 4     1.419933e+02 1.283934e+02
0 5     3.151033e+02 -2.367074e+02
0 6     3.200486e+02 6.279514e+02
0 7     4.130421e+02 -1.844928e+01
0 8     3.352867e+02 -6.727009e+02
0 9     4.372402e+02 1.845122e+02
0 10     2.822343e+02 8.596588e+01
0 11     3.806954e+02 4.088247e+02
0 12     4.008220e+02 3.399980e+02
0 13     1.773607e+02 1.088705e+02
0 14     1.524584e+02 9.969836e+01
0 15     4.381469e+02 2.298730e+01
0 16     2.047175e+02 -2.260327e+01
0 17     2.061097e+02 6.739760e+02
0 18     3.258882e+02 -5.544222e+02
0 19     5.183920e+02 -5.648540e+02
0 20     3.460886e+02 -5.685499e+02
0 21     4.629142e+02 -2.722565e+02
0 22     2.712747e+02 3.958426e+02
0 23     3.240774e+02 4.058653e+02
0 24     2.418476e+02 1.191315e+01
0 25     1.002433e+02 6.011877e+01
0 26     4.502799e+02 1.900633e+02
0 27     4.092349e+02 2.184661e+02
0 28     4.330615e+02 2.273279e+02
0 29     3.012879e+02 6.692545e+02
0 30     3.824385e+02 6.981387e+02
0 31     1.819828e+02 6.338694e+02
0 32     3.904499e+02 2.627671e+02
0 33     1.614168e+02 2.710583e+02
0 34     2.664290e+02 4.597878e+02
0 35     2.973760e+02 4.859648e+02
0 36     2.366376e+02 5.430715e+02
0 37     3.923353e+02 5.938578e+02
0 38     2.557986e+02 -5.654275e+02
0 39     4.823273e+02 -5.617617e+02
0 40     1.228364e+02 -5.140803e+02
0 41     3.486559e+02 -3.673436e+02
0 42     2.244556e+02 -2.534115e+02
0 43     1.841407e+02 -2.394236e+02
1 44     3.708893e+01 4.840764e+02
1 45     1.228674e+01 -1.251927e+02
1 46     1.408728e+01 -6.381511e+02
1 47     -3.542700e+02 -1.063790e+02
1 48     3.769662e+02 -3.101266e+02
1 9     3.481940e+01 4.888355e+02
1 49     3.774312e+02 -1.101357e+02
1 50     -5.598758e+01 -7.904132e+01
1 51     7.583282e+01 -8.099164e+01
1 52     9.417725e+00 -1.183909e+02
1 53     -5.823178e+01 -2.924304e+02
1 54     -3.929475e+02 -5.670488e+02
1 55     3.005334e+01 3.572094e+02
1 56     6.018188e+00 -2.777415e+02
1 57     -4.028749e+02 -2.940239e+02
1 58     -3.204226e+02 -2.995543e+02
1 59     -2.683724e+02 -3.349769e+02
1 60     -3.605651e+02 -4.859468e+02
1 61     8.993164e+00 -6.679952e+02
1 62     1.428276e+02 -6.672037e+02
